table_name	column_name	system_type_id	user_type_id	max_length	precision	scale	is_nullable	is_ansi_padded
_SP_Crate	CrateID	127	127	8	19	0	0	0
_SP_Crate	CrateNo	231	231	508	0	0	0	1
_SP_Crate	PartID	56	56	4	10	0	0	0
_SP_Crate	Quantity	62	62	8	53	0	0	0
_SP_Crate	CurrentQuantity	62	62	8	53	0	0	0
_SP_Crate	Locked	48	48	1	3	0	0	0
_SP_Crate	Complete	48	48	1	3	0	0	0
_SP_Crate	CreatedDT	61	61	8	23	3	0	0
_SP_Crate	CompletedDT	61	61	8	23	3	0	0
_SP_Crate	MachineStageID	52	52	2	5	0	0	0
_SP_Crate	CrateIndex	127	127	8	19	0	0	0
_SP_Crate	MirrorPartID	56	56	4	10	0	0	0
_SP_Crate	PadLock	36	36	16	0	0	1	0
_SP_CrateLabel	_SP_CrateLabelID	127	127	8	19	0	0	0
_SP_CrateLabel	CrateID	127	127	8	19	0	0	0
_SP_CrateLabel	MachineStage	231	231	508	0	0	1	1
_SP_CrateLabel	PartNumber	231	231	508	0	0	1	1
_SP_CrateLabel	InvState	231	231	508	0	0	1	1
_SP_CrateLabel	CrateNo	231	231	508	0	0	1	1
_SP_CrateLabel	CreatedDT	61	61	8	23	3	1	0
_SP_CrateLabel	CompleteDT	61	61	8	23	3	1	0
_SP_CrateLabel	Quantity	62	62	8	53	0	1	0
_SP_CrateLabel	LabelTemplate	231	231	508	0	0	1	1
_SP_CrateLabel	PrinterURL	231	231	2048	0	0	0	1
_SP_CrateLabel	PrintedDT	61	61	8	23	3	0	0
_SP_CrateLabel	ScannedDT	61	61	8	23	3	0	0
_SP_CrateLabel	IsCancelled	48	48	1	3	0	0	0
_SP_CrateLabel	IsReprint	48	48	1	3	0	0	0
_SP_CrateLabel	PartDescription	231	231	508	0	0	1	1
_SP_CrateLabel	LabelSaveDirectory	231	231	508	0	0	1	1
_SP_CrateLabel	IsPrintLandscape	48	48	1	3	0	0	0
_SP_CrateLabel	NoCopies	52	52	2	5	0	0	0
_SP_CrateLabel	LabelsPerInventoryPack	52	52	2	5	0	0	0
_SP_LkInvIsolatedReasonMST	LkInvIsolatedReasonMSTID	56	56	4	10	0	0	0
_SP_LkInvIsolatedReasonMST	InvIsolatedReasonID	52	52	2	5	0	0	0
_SP_LkInvIsolatedReasonMST	MachineStageTypeID	52	52	2	5	0	0	0
_SP_Pallet	PalletID	127	127	8	19	0	0	0
_SP_Pallet	PalletNo	231	231	508	0	0	0	1
_SP_Pallet	PartID	56	56	4	10	0	0	0
_SP_Pallet	InvStateID	52	52	2	5	0	0	0
_SP_Pallet	Quantity	62	62	8	53	0	0	0
_SP_Pallet	CurrentQuantity	62	62	8	53	0	0	0
_SP_Pallet	Locked	48	48	1	3	0	0	0
_SP_Pallet	Complete	48	48	1	3	0	0	0
_SP_Pallet	CreatedDT	61	61	8	23	3	0	0
_SP_Pallet	CompletedDT	61	61	8	23	3	0	0
_SP_Pallet	MachineStageID	52	52	2	5	0	0	0
