db,table,column,type,length,precision,scale,nullable,padded
dbo,_SP_Crate,CrateID,bigint,8,19,0,0,0
dbo,_SP_Crate,CrateNo,nvarchar,508,0,0,0,1
dbo,_SP_Crate,PartID,int,4,10,0,0,0
dbo,_SP_Crate,Quantity,float,8,53,0,0,0
dbo,_SP_Crate,CurrentQuantity,float,8,53,0,0,0
dbo,_SP_Crate,Locked,tinyint,1,3,0,0,0
dbo,_SP_Crate,Complete,tinyint,1,3,0,0,0
dbo,_SP_Crate,CreatedDT,datetime,8,23,3,0,0
dbo,_SP_Crate,CompletedDT,datetime,8,23,3,0,0
dbo,_SP_Crate,MachineStageID,smallint,2,5,0,0,0
dbo,_SP_Crate,CrateIndex,bigint,8,19,0,0,0
dbo,_SP_Crate,MirrorPartID,int,4,10,0,0,0
dbo,_SP_Crate,PadLock,uniqueidentifier,16,0,0,1,0
dbo,_SP_CrateLabel,_SP_CrateLabelID,bigint,8,19,0,0,0
dbo,_SP_CrateLabel,CrateID,bigint,8,19,0,0,0
dbo,_SP_CrateLabel,MachineStage,nvarchar,508,0,0,1,1
dbo,_SP_CrateLabel,PartNumber,nvarchar,508,0,0,1,1
dbo,_SP_CrateLabel,InvState,nvarchar,508,0,0,1,1
dbo,_SP_CrateLabel,CrateNo,nvarchar,508,0,0,1,1
dbo,_SP_CrateLabel,CreatedDT,datetime,8,23,3,1,0
dbo,_SP_CrateLabel,CompleteDT,datetime,8,23,3,1,0
dbo,_SP_CrateLabel,Quantity,float,8,53,0,1,0
dbo,_SP_CrateLabel,LabelTemplate,nvarchar,508,0,0,1,1
dbo,_SP_CrateLabel,PrinterURL,nvarchar,2048,0,0,0,1
dbo,_SP_CrateLabel,PrintedDT,datetime,8,23,3,0,0
dbo,_SP_CrateLabel,ScannedDT,datetime,8,23,3,0,0
dbo,_SP_CrateLabel,IsCancelled,tinyint,1,3,0,0,0
dbo,_SP_CrateLabel,IsReprint,tinyint,1,3,0,0,0
dbo,_SP_CrateLabel,PartDescription,nvarchar,508,0,0,1,1
dbo,_SP_CrateLabel,LabelSaveDirectory,nvarchar,508,0,0,1,1
dbo,_SP_CrateLabel,IsPrintLandscape,tinyint,1,3,0,0,0
dbo,_SP_CrateLabel,NoCopies,smallint,2,5,0,0,0
dbo,_SP_CrateLabel,LabelsPerInventoryPack,smallint,2,5,0,0,0
dbo,_SP_LkInvIsolatedReasonMST,LkInvIsolatedReasonMSTID,int,4,10,0,0,0
dbo,_SP_LkInvIsolatedReasonMST,InvIsolatedReasonID,smallint,2,5,0,0,0
dbo,_SP_LkInvIsolatedReasonMST,MachineStageTypeID,smallint,2,5,0,0,0
dbo,_SP_Pallet,PalletID,bigint,8,19,0,0,0
dbo,_SP_Pallet,PalletNo,nvarchar,508,0,0,0,1
dbo,_SP_Pallet,PartID,int,4,10,0,0,0
dbo,_SP_Pallet,InvStateID,smallint,2,5,0,0,0
dbo,_SP_Pallet,Quantity,float,8,53,0,0,0
dbo,_SP_Pallet,CurrentQuantity,float,8,53,0,0,0
dbo,_SP_Pallet,Locked,tinyint,1,3,0,0,0
dbo,_SP_Pallet,Complete,tinyint,1,3,0,0,0
dbo,_SP_Pallet,CreatedDT,datetime,8,23,3,0,0
dbo,_SP_Pallet,CompletedDT,datetime,8,23,3,0,0
dbo,_SP_Pallet,MachineStageID,smallint,2,5,0,0,0
dbo,_SP_Pallet,PrincipleWOID,int,4,10,0,1,0
dbo,_SP_Pallet,PalletIndex,bigint,8,19,0,0,0
dbo,_SP_Pallet,ModulePartID,int,4,10,0,0,0
dbo,_SP_Pallet,Merged,tinyint,1,3,0,0,0
dbo,_SP_Pallet,PadLock,uniqueidentifier,16,0,0,1,0
dbo,_SP_Pallet,IsBtoCto,tinyint,1,3,0,0,0
dbo,_SP_PalletLabel,_SP_PalletLabelID,bigint,8,19,0,0,0
dbo,_SP_PalletLabel,PalletID,bigint,8,19,0,0,0
dbo,_SP_PalletLabel,MachineStage,nvarchar,508,0,0,1,1
dbo,_SP_PalletLabel,PartNumber,nvarchar,508,0,0,1,1
dbo,_SP_PalletLabel,InvState,nvarchar,508,0,0,1,1
dbo,_SP_PalletLabel,PalletNo,nvarchar,508,0,0,1,1
dbo,_SP_PalletLabel,CreatedDT,datetime,8,23,3,1,0
dbo,_SP_PalletLabel,CompleteDT,datetime,8,23,3,1,0
dbo,_SP_PalletLabel,Quantity,float,8,53,0,1,0
dbo,_SP_PalletLabel,LabelTemplate,nvarchar,508,0,0,1,1
dbo,_SP_PalletLabel,PrinterURL,nvarchar,2048,0,0,0,1
dbo,_SP_PalletLabel,PrintedDT,datetime,8,23,3,0,0
dbo,_SP_PalletLabel,ScannedDT,datetime,8,23,3,0,0
dbo,_SP_PalletLabel,IsCancelled,tinyint,1,3,0,0,0
dbo,_SP_PalletLabel,IsReprint,tinyint,1,3,0,0,0
dbo,_SP_PalletLabel,PartDescription,nvarchar,508,0,0,1,1
dbo,_SP_PalletLabel,LabelSaveDirectory,nvarchar,508,0,0,1,1
dbo,_SP_PalletLabel,IsPrintLandscape,tinyint,1,3,0,0,0
dbo,_SP_PalletLabel,NoCopies,smallint,2,5,0,0,0
dbo,_SP_PalletLabel,LabelsPerInventoryPack,smallint,2,5,0,0,0
dbo,_SP_SEQ_LPN,SeqID,int,4,10,0,0,0
dbo,_SP_SEQ_LPN,SeqVal,varchar,1,0,0,0,1
dbo,_SPML_ModuleInfo,ModuleInfoID,int,4,10,0,0,0
dbo,_SPML_ModuleInfo,SerialNo,nvarchar,508,0,0,0,1
dbo,_SPML_ModuleInfo,LaminateID,int,4,10,0,0,0
dbo,_SPML_ModuleInfo,LaminateCreatedDT,datetime,8,23,3,0,0
dbo,_SPML_ModuleInfo,LaminateOrderNo,nvarchar,508,0,0,0,1
dbo,_SPML_ModuleInfo,LaminatePartNo,nvarchar,508,0,0,0,1
dbo,_SPML_ModuleInfo,BINNo,nvarchar,508,0,0,0,1
