LocationID	Location	LocationTypeID	IsRetired	MaxQuantity	LocationCode	Description
1	[None]	1	0	0	NULL	NULL
2	FG WHS	2	0	0	NULL	NULL
3	Bay 3	2	1	0	NULL	NULL
4	WIP	4	0	0	NULL	NULL
6	Stringer-1a	4	1	0	NULL	NULL
7	Stringer-1m	4	1	0	NULL	NULL
9	Stringer-1b	4	1	0	NULL	NULL
10	Framing-1	4	1	0	NULL	NULL
11	Jboxassembly-1	4	1	0	NULL	NULL
12	Layup-1	4	1	0	NULL	NULL
13	Jbox-1	4	1	0	NULL	NULL
15	Cktform-1m	4	1	0	NULL	NULL
16	ReworkStr-1	4	1	0	NULL	NULL
17	Packing-1	4	1	0	NULL	NULL
18	FAB	5	0	0	NULL	NULL
19	QA Section	5	0	0	NULL	NULL
20	PM	5	0	0	NULL	NULL
21	Solar Sales Australia	6	1	0	NULL	NULL
22	PowerLight U.S.A.	6	1	0	NULL	NULL
23	Conergy AG Germany	6	1	0	NULL	NULL
24	Enerpoint SRL,Italy	6	1	0	NULL	NULL
25	PowerLight K&N Spain	6	1	0	NULL	NULL
26	Toshiba Trading Inc.,Japan	6	1	0	NULL	NULL
27	SPNA-WH1 USA	6	1	0	NULL	NULL
28	SPNA-WH2 USA	6	1	0	NULL	NULL
29	SolarNed BV Netherland	6	1	0	NULL	NULL
30	Combigas SRL,Italy	6	1	0	NULL	NULL
31	Microelit SPA,Italy	6	1	0	NULL	NULL
32	Woojinelect Co.,Ltd. S.Korea	6	1	0	NULL	NULL
33	Net's Corea Inc. Korea	6	1	0	NULL	NULL
34	Sunerg Solar SRL,Italy	6	1	0	NULL	NULL
35	Gesensa, Spain	6	1	0	NULL	NULL
36	ReworkMod-1	4	1	0	NULL	NULL
42	Inspected	4	0	0	NULL	NULL
44	Engineering	8	0	0	NULL	NULL
101	MX_Komax-1	13	0	0	NULL	Location for raw material inventory at MX_Komax-1
102	MX_Komax-2	13	0	0	NULL	Location for raw material inventory at MX_Komax-2
103	MX_Komax-3	13	0	0	NULL	Location for raw material inventory at MX_Komax-3
104	MX_Komax-4	13	0	0	NULL	Location for raw material inventory at MX_Komax-4
105	MX_Komax-5	13	0	0	NULL	Location for raw material inventory at MX_Komax-5
106	MX_Komax-6	13	0	0	NULL	Location for raw material inventory at MX_Komax-6
107	MX_Komax-7	13	0	0	NULL	Location for raw material inventory at MX_Komax-7
108	MX_Komax-8	13	0	0	NULL	Location for raw material inventory at MX_Komax-8
109	MX_Komax-9	13	0	0	NULL	Location for raw material inventory at MX_Komax-9
110	MX_Komax-10	13	0	0	NULL	Location for raw material inventory at MX_Komax-10
111	MX_Komax-11	13	0	0	NULL	Location for raw material inventory at MX_Komax-11
112	MX_Komax-12	13	0	0	NULL	Location for raw material inventory at MX_Komax-12
113	MX_Komax-13	13	0	0	NULL	Location for raw material inventory at MX_Komax-13
114	MX_CktForm-T1	13	0	0	NULL	Location for raw material inventory at MX_CktForm-T1
115	MX_CktForm-T2	13	0	0	NULL	Location for raw material inventory at MX_CktForm-T2
116	MX_CktForm-T3	13	0	0	NULL	Location for raw material inventory at MX_CktForm-T3
117	MX_CktForm-T4	13	0	0	NULL	Location for raw material inventory at MX_CktForm-T4
118	MX_CktForm-T5	13	0	0	NULL	Location for raw material inventory at MX_CktForm-T5
119	MX_CktForm-T6	13	0	0	NULL	Location for raw material inventory at MX_CktForm-T6
120	MX_CktForm-T7	13	0	0	NULL	Location for raw material inventory at MX_CktForm-T7
121	MX_Framing-1	13	0	0	NULL	NULL
122	MX_Framing-2	13	0	0	NULL	NULL
123	MX_Jbox-1	13	0	0	NULL	NULL
124	MX_Jbox-2	13	0	0	NULL	NULL
125	MX_Jbox-3	13	0	0	NULL	NULL
126	MX_Jbox-4	13	0	0	NULL	NULL
127	MX_Framing-3	13	0	0	NULL	NULL
128	CktForm-T9	13	0	0	NULL	Location for raw material inventory at MX_CktForm-T9
129	COV	13	0	0	NULL	Location for raw material inventory at MX_CktForm-T8
130	CktForm-T14	13	0	0	NULL	Location for raw material inventory at MX_CktForm-T14
131	Almacen	13	0	0	NULL	Location for raw material inventory at MX_CktForm-T13
132	Materialista	13	0	0	NULL	Location for raw material inventory at MX_CktForm-T12
134	Busbar	13	0	0	NULL	Location for raw material inventory at MX_CktForm-T11
135	FC	13	0	0	NULL	Location for raw material inventory at MX_CktForm-Bck1
136	GW	13	0	0	NULL	Location for raw material inventory at MX_Cktform-T10
137	MX_ReworkStr-1	13	0	0	NULL	NULL
138	MX_ReworkStr-2	13	0	0	NULL	NULL
139	MX_ReworkStr-3	13	0	0	NULL	NULL
140	MX_ReworkStr-4	13	0	0	NULL	NULL
141	MX_ReworkStr-5	13	0	0	NULL	NULL
142	MX_ReworkLam-1	13	0	0	NULL	NULL
143	MX_ReworkLam-2	13	0	0	NULL	NULL
144	MX_ReworkLam-3	13	0	0	NULL	NULL
145	MX_ReworkMod-1	13	0	0	NULL	NULL
146	MX_ReworkMod-2	13	0	0	NULL	NULL
147	MX_ReworkMod-3	13	0	0	NULL	NULL
148	MX_Framing-4	13	0	0	NULL	NULL
149	MX_Packing-1	13	0	0	NULL	Location for raw material inventory at MX_Packing-1
150	MX_Packing-2	13	0	0	NULL	Location for raw material inventory at MX_Packing-2
151	MX_Packing-3	13	0	0	NULL	Location for raw material inventory at MX_Packing-3
152	MX_Packing-4	13	0	0	NULL	Location for raw material inventory at MX_Packing-4
153	MX_Komax-15	13	0	0	NULL	Location for raw material inventory at MX_Komax-15
154	MX_Komax-14	13	0	0	NULL	Location for raw material inventory at MX_Komax-14
155	MX_Komax-16	13	0	0	NULL	Location for raw material inventory at MX_Komax-16
156	MX_Komax-17	13	0	0	NULL	Location for raw material inventory at MX_Komax-17
159	MX_Komax-18	13	0	0	NULL	Location for raw material inventory at MX_Komax-18
160	MX_Komax-19	13	0	0	NULL	Location for raw material inventory at MX_Komax-19
161	MX_Komax-20	13	0	0	NULL	Location for raw material inventory at MX_Komax-20
162	MX_CktForm-T10	13	0	0	NULL	Location for raw material inventory at MX_CktForm-T10
163	MX_CktForm-T9	13	0	0	NULL	Location for raw material inventory at MX_CktForm-T9
164	MX_CktForm-T8	13	0	0	NULL	Location for raw material inventory at MX_CktForm-T8
165	MX_Packing-5	13	0	0	NULL	Location for raw material inventory at MX_Packing-5
166	MX_ELTest-08	13	0	0	NULL	NULL
167	MX_ELTest-09	13	0	0	NULL	NULL
168	MX_ELTest-10	13	0	0	NULL	NULL
169	MX_Jbox-5	13	0	0	NULL	NULL
170	MX_Jbox-6	13	0	0	NULL	NULL
171	MX_Packing-6	13	0	0	NULL	NULL
172	MX_Trim-5	13	0	0	NULL	NULL
173	MX_Trim-6	13	0	0	NULL	NULL
174	MX_Framing-5	13	0	0	NULL	NULL
175	MX_Framing-6	13	0	0	NULL	NULL
176	MX_Hipot-6	13	0	0	NULL	NULL
177	MX_Hipot-5	13	0	0	NULL	NULL
178	MX_Flashtest-6	13	0	0	NULL	NULL
179	MX_Flashtest-5	13	0	0	NULL	NULL
181	MX_Komax-21	13	0	0	NULL	Location for raw material at MX_Komax-21
182	MX_CktForm-T11	13	0	0	NULL	Location for raw material inventory at MX_CktForm-T11
185	MX_ELTest-11	13	0	0	NULL	NULL
186	Site2-WIP	4	0	0	NULL	NULL
187	Staging Area	4	0	0	NULL	NULL
188	MDC-Hotspot	7	0	0	NULL	NULL
189	MDC-MRB	7	0	0	NULL	NULL
190	MDC-Retest	7	0	0	NULL	NULL
191	MDC-String Pair	7	0	0	NULL	NULL
192	MDC-Voc	7	0	0	NULL	NULL
193	MX_ELTest-01	13	0	0	NULL	NULL
194	MX_ELTest-02	13	0	0	NULL	NULL
195	MX_ELTest-03	13	0	0	NULL	NULL
196	MX_ELTest-04	13	0	0	NULL	NULL
197	MX_ELTest-05	13	0	0	NULL	NULL
198	MX_ELTest-06	13	0	0	NULL	NULL
199	MX_ELTest-07	13	0	0	NULL	NULL
200	MX_Hipot-1	13	0	0	NULL	NULL
201	MX_Hipot-2	13	0	0	NULL	NULL
202	MX_Hipot-3	13	0	0	NULL	NULL
203	MX_Hipot-4	13	0	0	NULL	NULL
204	MX_Trim-1	13	0	0	NULL	NULL
205	MX_Trim-2	13	0	0	NULL	NULL
206	MX_Trim-3	13	0	0	NULL	NULL
207	MX_Trim-4	13	0	0	NULL	NULL
208	MX_Komax-22	13	0	0	NULL	Location for raw material at MX_Komax-22
209	MX_Komax-23	13	0	0	NULL	Location for raw material at MX_Komax-23
210	MX_CktForm-T12	13	0	0	NULL	Location for raw material inventory at MX_CktForm-T12
211	MX_ELTest-12	13	0	0	NULL	NULL
213	MX_Flashtest-Merge	13	0	0	NULL	NULL
214	MX_Packing-Merge	13	0	0	NULL	NULL
215	MX_Komax-24	13	0	0	NULL	Location for raw material at MX_Komax-24
216	MX_Komax-25	13	0	0	NULL	Location for raw material at MX_Komax-25
217	MX_Komax-26	13	0	0	NULL	Location for raw material at MX_Komax-26
218	MX_Komax-27	13	0	0	NULL	Location for raw material at MX_Komax-27
219	MX_CktForm-T13	13	0	0	NULL	Location for raw material inventory at MX_CktForm-T13
220	MX_CktForm-T14	13	0	0	NULL	Location for raw material inventory at MX_CktForm-T14
221	MX_Packing-7	13	0	0	NULL	NULL
222	MX_Flashtest-7	13	0	0	NULL	NULL
223	MX_Hipot-7	13	0	0	NULL	NULL
224	MX_Jbox-7	13	0	0	NULL	NULL
225	MX_Framing-7	13	0	0	NULL	NULL
227	MX_Trim-7	13	0	0	NULL	NULL
228	MX_Laminator-13	13	0	0	NULL	NULL
229	MX_Laminator-14	13	0	0	NULL	NULL
230	MX_ELTest-13	13	0	0	NULL	NULL
231	MX_ELTest-14	13	0	0	NULL	NULL
232	MX_Mirror Assembly 1	13	0	0	NULL	NULL
233	MX_Mirror Packing 1	13	0	0	NULL	NULL
234	MX_Mirror Rework 1	13	0	0	NULL	NULL
235	MX_CktForm-T15	13	0	0	NULL	Location for raw material inventory at MX_CktForm-T12
237	MX_ELTest-15	13	0	0	NULL	NULL
238	MX_Laminator-15	13	0	0	NULL	NULL
239	MX_Komax-28	13	0	0	NULL	Location for raw material at MX_Komax-28
240	MX_Komax-29	13	0	0	NULL	Location for raw material at MX_Komax-29
241	MX_Komax-30	13	0	0	NULL	Location for raw material at MX_Komax-30
242	MX_Komax-31	13	0	0	NULL	Location for raw material at MX_Komax-31
243	MX_Komax-32	13	0	0	NULL	Location for raw material at MX_Komax-32
244	MX_Flashtest-8	13	0	0	NULL	NULL
245	MX_Framing-8	13	0	0	NULL	NULL
246	MX_Hipot-8	13	0	0	NULL	NULL
247	MX_Jbox-8	13	0	0	NULL	NULL
248	MX_Packing-8	13	0	0	NULL	NULL
249	MX_Trim-8	13	0	0	NULL	NULL
251	MX_CktForm-T16	13	0	0	NULL	Location for raw material inventory at MX_CktForm-T16
252	MX_CktForm-T17	13	0	0	NULL	Location for raw material inventory at MX_CktForm-T17
253	MX_ELTest-16	13	0	0	NULL	NULL
254	MX_ELTest-17	13	0	0	NULL	NULL
255	MX_Laminator-16	13	0	0	NULL	NULL
256	MX_Laminator-17	13	0	0	NULL	NULL
258	MX_Framing-9	13	0	0	NULL	NULL
259	MX_Jbox-9	13	0	0	NULL	NULL
260	MX_Hipot-9	13	0	0	NULL	NULL
261	MX_Flashtest-9	13	0	0	NULL	NULL
262	MX_Packing-9	13	0	0	NULL	NULL
263	MX_Trim-9	13	0	0	NULL	NULL
264	MX_Komax-33	13	0	0	NULL	NULL
265	MX_Komax-34	13	0	0	NULL	NULL
266	MX_CktForm-T18	13	0	0	NULL	NULL
268	MX_ELTest-18	13	0	0	NULL	NULL
269	MX_Laminator-18	13	0	0	NULL	NULL
270	MX_Komax-35	13	0	0	NULL	NULL
271	MX_Flashtest-ACPV	13	0	0	NULL	NULL
272	MX_Packing-ACPV	13	0	0	NULL	NULL
273	FAB reason	13	0	0	NULL	NULL
274	MX_Flashtest-10	13	0	0	NULL	NULL
275	MX_Framing-10	13	0	0	NULL	NULL
276	MX_Hipot-10	13	0	0	NULL	NULL
277	MX_Jbox-10	13	0	0	NULL	NULL
278	MX_Packing-10	13	0	0	NULL	NULL
279	MX_Trim-10	13	0	0	NULL	NULL
280	MX_CktForm-T19	13	0	0	NULL	NULL
281	MX_CktForm-T20	13	0	0	NULL	NULL
282	MX_ELTest-19	13	0	0	NULL	NULL
283	MX_ELTest-20	13	0	0	NULL	NULL
284	MX_Laminator-19	13	0	0	NULL	NULL
285	MX_Laminator-20	13	0	0	NULL	NULL
286	MX_Komax-36	13	0	0	NULL	NULL
287	MX_Komax-37	13	0	0	NULL	NULL
288	MX_CktForm-T21	13	0	0	NULL	NULL
289	MX_CktForm-T22	13	0	0	NULL	NULL
290	MX_CktForm-T23	13	0	0	NULL	NULL
292	MX_CktForm-T24	13	0	0	NULL	NULL
293	MX_ELTest-21	13	0	0	NULL	NULL
294	MX_ELTest-22	13	0	0	NULL	NULL
295	MX_ELTest-23	13	0	0	NULL	NULL
296	MX_ELTest-24	13	0	0	NULL	NULL
297	MX_Laminator-21	13	0	0	NULL	NULL
298	MX_Laminator-22	13	0	0	NULL	NULL
299	MX_Laminator-23	13	0	0	NULL	NULL
300	MX_Laminator-24	13	0	0	NULL	NULL
301	MX_Komax-38	13	0	0	NULL	NULL
302	MX_Komax-39	13	0	0	NULL	NULL
303	MX_Komax-40	13	0	0	NULL	NULL
304	MX_Komax-41	13	0	0	NULL	NULL
305	MX_Komax-42	13	0	0	NULL	NULL
306	MX_Trim-11	13	0	0	NULL	NULL
307	MX_Trim-12	13	0	0	NULL	NULL
308	MX_Framing-11	13	0	0	NULL	NULL
309	MX_Framing-12	13	0	0	NULL	NULL
310	MX_Jbox-11	13	0	0	NULL	NULL
311	MX_Jbox-12	13	0	0	NULL	NULL
312	MX_Hipot-11	13	0	0	NULL	NULL
313	MX_Hipot-12	13	0	0	NULL	NULL
314	MX_Flashtest-11	13	0	0	NULL	NULL
315	MX_Flashtest-12	13	0	0	NULL	NULL
316	MX_Packing-11	13	0	0	NULL	NULL
317	MX_Packing-12	13	0	0	NULL	NULL
